,Before Flood State of Orign Totals,During Flood State of Orign Totals,After Flood State of Orign Totals
AL,36,97,41
AR,14,18,25
AZ,100,147,234
CA,187,728,219
CO,152,425,349
CT,7,4,15
DC,7,8,2
DE,26,12,27
FL,124,290,235
GA,66,150,149
HI,37,31,6
IA,35,217,214
ID,212,344,423
IL,68,79,132
IN,56,83,60
KS,19,34,47
KY,22,105,79
LA,17,24,12
MA,6,23,19
MD,50,78,117
ME,8,18,35
MI,59,78,122
MN,12,45,108
MO,24,53,92
MS,8,14,6
MT,105,185,404
NC,119,176,281
ND,8,35,20
NE,8,29,24
NJ,12,16,62
NM,30,66,45
NV,8,61,57
NY,83,103,141
OH,65,144,160
OK,10,24,30
OR,198,80,138
PA,93,152,173
RI,16,4,2
SC,32,78,51
SD,18,33,89
TN,31,62,28
TX,156,242,374
UT,300,467,562
VA,46,134,134
VT,2,4,12
WA,38,154,259
WI,24,84,100
WV,6,6,37
WY,781,818,1783
AK,0,16,23
NH,0,5,8
