,Before Flood State of Orign Totals,During Flood State of Orign Totals,After Flood State of Orign Totals
AL,21,22,0
AR,3,0,0
AZ,28,17,15
CA,70,24,9
CO,18,50,5
FL,42,44,6
GA,18,12,0
IA,4,22,0
ID,55,38,8
IL,25,17,2
IN,20,23,9
KS,2,5,0
KY,17,12,4
LA,2,2,2
MA,12,2,6
MD,14,6,4
ME,4,2,0
MI,12,13,7
MO,10,18,0
MS,7,2,0
MT,88,85,64
NC,44,27,8
NE,11,13,0
NJ,2,6,2
NM,4,7,0
NV,10,4,2
NY,16,10,9
OH,46,45,6
OR,11,4,4
PA,60,27,9
RI,3,0,0
SC,14,13,0
SD,2,0,0
TX,55,73,10
UT,111,76,22
VA,46,10,12
VT,6,0,0
WA,30,20,22
WI,17,4,4
WV,4,4,0
WY,15,10,2
CT,0,10,0
DC,0,5,0
DE,0,2,2
MN,0,22,2
ND,0,6,0
OK,0,8,0
TN,0,12,2
AK,0,0,2
NH,0,0,4
