,Before Flood State of Orign Totals,During Flood State of Orign Totals,After Flood State of Orign Totals
AK,10,18,74
AL,236,325,320
AR,11,17,59
AZ,366,580,711
CA,535,1425,1258
CO,370,883,1017
CT,64,77,102
DC,15,45,82
DE,20,43,111
FL,454,818,621
GA,165,333,553
HI,16,33,47
IA,32,166,149
ID,2753,2975,3443
IL,200,245,340
IN,79,251,215
KS,21,99,113
KY,81,215,182
LA,107,91,80
MA,95,104,154
MD,129,268,293
ME,51,73,114
MI,134,236,419
MN,10,108,107
MO,69,111,129
MS,48,68,96
MT,173,190,293
NC,397,640,757
ND,2,27,20
NE,44,51,84
NH,4,6,44
NJ,69,174,307
NM,73,152,88
NV,152,120,125
NY,206,412,527
OH,226,437,510
OK,41,105,76
OR,182,199,301
PA,330,566,529
RI,21,12,23
SC,96,175,243
SD,55,55,107
TN,66,195,231
TX,383,845,1268
UT,1704,2297,3268
VA,118,309,547
VT,12,14,34
WA,238,382,438
WI,68,100,162
WV,8,38,46
WY,2102,2647,3634
