,Before Flood State of Orign Totals,During Flood State of Orign Totals,After Flood State of Orign Totals
AK,8,5,23
AL,52,63,38
AR,4,14,14
AZ,133,219,237
CA,153,273,314
CO,65,164,204
CT,13,27,8
DC,4,4,0
DE,4,15,27
FL,154,178,179
GA,49,87,76
HI,7,4,26
IA,11,67,50
ID,666,766,1050
IL,63,72,88
IN,14,37,70
KS,6,23,22
KY,24,95,47
LA,24,28,29
MA,6,20,27
MD,40,51,98
ME,2,16,8
MI,33,70,70
MN,12,12,37
MO,25,36,47
MS,4,12,16
MT,208,244,463
NC,150,179,141
ND,8,16,31
NE,8,12,13
NH,4,6,12
NJ,16,12,28
NM,31,32,23
NV,51,29,53
NY,38,80,123
OH,67,125,154
OK,6,21,54
OR,65,64,96
PA,157,124,149
RI,4,12,10
SC,16,48,53
SD,14,9,33
TN,21,39,56
TX,145,269,265
UT,734,966,1467
VA,29,81,140
VT,4,18,0
WA,138,178,301
WI,14,31,49
WV,4,9,21
WY,47,39,104
