,Before Flood State of Orign Totals,During Flood State of Orign Totals,After Flood State of Orign Totals
AL,27,24,23
AR,2,2,4
AZ,32,67,64
CA,42,74,125
CO,44,45,94
CT,2,4,11
FL,41,53,75
GA,16,16,52
IA,2,16,10
ID,61,55,97
IL,24,25,35
IN,14,25,25
KY,12,19,20
LA,10,2,6
MA,6,9,22
MD,12,32,57
ME,2,2,7
MI,12,17,27
MN,4,4,26
MO,2,14,12
MS,12,2,2
MT,39,28,36
NC,40,48,58
ND,2,4,3
NE,2,10,8
NJ,13,18,34
NM,12,11,0
NV,8,2,4
NY,37,42,55
OH,54,52,84
OK,8,7,6
OR,13,27,28
PA,60,67,86
RI,2,0,2
SC,21,21,20
SD,2,4,5
TN,12,8,18
TX,60,96,147
UT,68,73,129
VA,23,27,59
VT,2,2,0
WA,39,33,76
WI,11,10,23
WV,4,6,2
WY,6,10,32
DC,0,4,2
DE,0,2,14
KS,0,6,9
NH,0,4,2
AK,0,0,2
HI,0,0,4
